"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","GRADE","NUMBER_WRITERS","AVG_SCORE","AVG_SCORE_Z","MEDIAN_SCORE","STDEV_SCORE","PROVINCE_AVG","PROVINCE_SD","pm25","burned_ha","fire_count"
27,"Cariboo-Chilcotin",2019,"04","294",408.5881,0.178639134664599,435.5,151.3528,366.7404,234.2583,3.98649845123291,215,15
27,"Cariboo-Chilcotin",2019,"07","366",384.264,0.116284867716694,395,144.6466,357.1648,233.0415,3.98649845123291,215,15
27,"Cariboo-Chilcotin",2020,"04","294",399.7339,0.239464286063728,439,188.3108,338.5485,255.5095,4.40085453987122,425,5
27,"Cariboo-Chilcotin",2020,"07","295",353.361,0.136990115276488,418.5,203.8826,318.5741,253.9373,4.40085453987122,425,5
27,"Cariboo-Chilcotin",2021,"04","337",434.4568,-0.497011542456355,432.6137,95.2162,490.3953,112.5497,7.22318887710571,261802,89
27,"Cariboo-Chilcotin",2021,"07","382",429.8149,-0.374364812024984,426.0136,107.8806,474.0476,118.154,7.22318887710571,261802,89
27,"Cariboo-Chilcotin",2022,"04","339",405.6849,-0.659367311700976,406.1399,83.0357,479.387,111.777,4.57907514572144,6701,48
27,"Cariboo-Chilcotin",2022,"07","323",419.8488,-0.421981590261374,418.5503,101.1378,468.296,114.8088,4.57907514572144,6701,48
27,"Cariboo-Chilcotin",2023,"04","321",424.5001,-0.469020710865591,417.0416,107.7225,477.3267,112.6317,16.4950023651123,203088,113
27,"Cariboo-Chilcotin",2023,"07","334",424.346,-0.308498769314214,426.672,105.7494,460.2924,116.5204,16.4950023651123,203088,113
27,"Cariboo-Chilcotin",2024,"04","306",450.5951,-0.269588934274387,450.136,86.2883,479.7736,108.2333,6.69597744941711,68532,88
27,"Cariboo-Chilcotin",2024,"07","359",419.5079,-0.446527228799098,424.2588,101.8666,469.7227,112.4563,6.69597744941711,68532,88
28,"Quesnel",2017,"04","181",294.1102,-0.336211976970851,347,195.1203,369.7585,225.0018,38.1033762931824,701494,63
28,"Quesnel",2017,"07","100",177.7661,-0.826946746641671,0,205.8576,365.4176,226.9209,38.1033762931824,701494,63
28,"Quesnel",2018,"04","151",219.9486,-0.61784341801849,241,198.9039,361.6057,229.2767,24.9274497032166,211345,63
28,"Quesnel",2018,"07","106",159.5472,-0.850923562589153,0,200.2312,356.6422,231.6248,24.9274497032166,211345,63
28,"Quesnel",2019,"04","162",268.9307,-0.417529282847182,323,197.1382,366.7404,234.2583,5.43289937973022,95,6
28,"Quesnel",2019,"07","87",138.3592,-0.938912597112531,0,195.4161,357.1648,233.0415,5.43289937973022,95,6
28,"Quesnel",2020,"04","144",287.4154,-0.20012210896268,342,196.8425,338.5485,255.5095,4.16501796245575,7,1
28,"Quesnel",2020,"07","100",162.6033,-0.614209885668628,0,205.1952,318.5741,253.9373,4.16501796245575,7,1
28,"Quesnel",2021,"04","137",368.9325,-1.07919257003795,358.4071,98.0787,490.3953,112.5497,7.10367321968079,67150,49
28,"Quesnel",2021,"07","89",318.9146,-1.31297289977487,284.848,119.957,474.0476,118.154,7.10367321968079,67150,49
28,"Quesnel",2022,"04","134",374.5083,-0.938285157053777,377.0356,101.353,479.387,111.777,4.81094813346863,49,13
28,"Quesnel",2022,"07","94",361.0332,-0.934273330964177,346.1678,106.7251,468.296,114.8088,4.81094813346863,49,13
28,"Quesnel",2023,"04","145",392.5803,-0.752420499734977,398.2256,114.1238,477.3267,112.6317,22.0506067276001,166903,89
28,"Quesnel",2023,"07","117",326.6383,-1.14704463767718,310.2013,95.29,460.2924,116.5204,22.0506067276001,166903,89
28,"Quesnel",2024,"04","147",376.7466,-0.951897428979806,357.8009,106.1201,479.7736,108.2333,9.40504169464111,51146,58
28,"Quesnel",2024,"07","143",359.0551,-0.984094265950418,345.1951,94.8454,469.7227,112.4563,9.40504169464111,51146,58
33,"Chilliwack",2017,"04","927",416.3516,0.207078787814142,451,169.3069,369.7585,225.0018,7.18340225219727,185,4
33,"Chilliwack",2017,"07","795",365.5584,0.000620480528677671,420.5,192.529,365.4176,226.9209,7.18340225219727,185,4
33,"Chilliwack",2018,"04","997",424.0081,0.272170700293575,454,168.9602,361.6057,229.2767,7.45417404174805,6207,6
