"SCHOOL_DISTRICT_NUMBER","year","month","SCHOOL_DISTRICT_NAME","burned_ha_50km","fire_count_50km"
36,2022,6,"Surrey",0,0
36,2022,7,"Surrey",0,0
36,2022,8,"Surrey",6,1
36,2022,9,"Surrey",5,1
36,2023,5,"Surrey",19,1
36,2023,6,"Surrey",102,1
36,2023,7,"Surrey",175,1
36,2023,8,"Surrey",0,0
36,2023,9,"Surrey",0,0
36,2024,5,"Surrey",0,0
36,2024,6,"Surrey",0,0
36,2024,7,"Surrey",0,0
36,2024,8,"Surrey",0,0
36,2024,9,"Surrey",0,0
37,2017,5,"Delta",0,0
37,2017,6,"Delta",0,0
37,2017,7,"Delta",0,0
37,2017,8,"Delta",0,0
37,2017,9,"Delta",0,0
37,2018,5,"Delta",0,0
37,2018,6,"Delta",0,0
37,2018,7,"Delta",13,1
37,2018,8,"Delta",9,2
37,2018,9,"Delta",0,0
37,2019,5,"Delta",0,0
37,2019,6,"Delta",8,2
37,2019,7,"Delta",0,0
37,2019,8,"Delta",0,0
37,2019,9,"Delta",0,0
37,2020,5,"Delta",0,0
37,2020,6,"Delta",0,0
37,2020,7,"Delta",0,0
37,2020,8,"Delta",1,1
37,2020,9,"Delta",0,0
37,2021,5,"Delta",0,0
37,2021,6,"Delta",0,0
37,2021,7,"Delta",0,0
37,2021,8,"Delta",91,2
37,2021,9,"Delta",0,0
37,2022,5,"Delta",0,0
37,2022,6,"Delta",0,0
37,2022,7,"Delta",0,0
37,2022,8,"Delta",0,0
37,2022,9,"Delta",5,1
37,2023,5,"Delta",0,0
37,2023,6,"Delta",0,0
37,2023,7,"Delta",175,1
37,2023,8,"Delta",0,0
37,2023,9,"Delta",0,0
37,2024,5,"Delta",0,0
37,2024,6,"Delta",0,0
37,2024,7,"Delta",7,1
37,2024,8,"Delta",2,1
37,2024,9,"Delta",0,0
38,2017,5,"Richmond",0,0
38,2017,6,"Richmond",0,0
38,2017,7,"Richmond",0,0
38,2017,8,"Richmond",0,0
38,2017,9,"Richmond",0,0
38,2018,5,"Richmond",0,0
38,2018,6,"Richmond",0,0
38,2018,7,"Richmond",13,1
38,2018,8,"Richmond",194,3
38,2018,9,"Richmond",0,0
38,2019,5,"Richmond",0,0
38,2019,6,"Richmond",8,2
38,2019,7,"Richmond",0,0
38,2019,8,"Richmond",0,0
38,2019,9,"Richmond",0,0
38,2020,5,"Richmond",0,0
38,2020,6,"Richmond",0,0
38,2020,7,"Richmond",0,0
38,2020,8,"Richmond",1,1
38,2020,9,"Richmond",0,0
38,2021,5,"Richmond",0,0
38,2021,6,"Richmond",0,0
38,2021,7,"Richmond",0,0
38,2021,8,"Richmond",91,2
38,2021,9,"Richmond",0,0
38,2022,5,"Richmond",0,0
38,2022,6,"Richmond",0,0
38,2022,7,"Richmond",0,0
38,2022,8,"Richmond",0,0
38,2022,9,"Richmond",5,1
38,2023,5,"Richmond",0,0
38,2023,6,"Richmond",0,0
38,2023,7,"Richmond",0,0
38,2023,8,"Richmond",0,0
38,2023,9,"Richmond",0,0
38,2024,5,"Richmond",0,0
38,2024,6,"Richmond",0,0
38,2024,7,"Richmond",7,1
38,2024,8,"Richmond",2,1
38,2024,9,"Richmond",2,1
39,2017,5,"Vancouver",0,0
39,2017,6,"Vancouver",0,0
39,2017,7,"Vancouver",0,0
39,2017,8,"Vancouver",3,1
39,2017,9,"Vancouver",0,0
39,2018,5,"Vancouver",106,1
39,2018,6,"Vancouver",0,0
39,2018,7,"Vancouver",27,2
39,2018,8,"Vancouver",194,3
39,2018,9,"Vancouver",0,0
39,2019,5,"Vancouver",0,0
39,2019,6,"Vancouver",17,3
39,2019,7,"Vancouver",0,0
39,2019,8,"Vancouver",4,1
39,2019,9,"Vancouver",0,0
39,2020,5,"Vancouver",0,0
39,2020,6,"Vancouver",0,0
39,2020,7,"Vancouver",0,0
39,2020,8,"Vancouver",1,1
39,2020,9,"Vancouver",0,0
39,2021,5,"Vancouver",2,1
39,2021,6,"Vancouver",0,0
39,2021,7,"Vancouver",0,0
39,2021,8,"Vancouver",91,2
39,2021,9,"Vancouver",0,0
39,2022,5,"Vancouver",0,0
39,2022,6,"Vancouver",0,0
39,2022,7,"Vancouver",0,0
39,2022,8,"Vancouver",0,0
39,2022,9,"Vancouver",0,0
39,2023,5,"Vancouver",0,0
39,2023,6,"Vancouver",0,0
39,2023,7,"Vancouver",20,1
39,2023,8,"Vancouver",179,1
39,2023,9,"Vancouver",0,0
39,2024,5,"Vancouver",0,0
39,2024,6,"Vancouver",0,0
39,2024,7,"Vancouver",7,1
39,2024,8,"Vancouver",2,1
39,2024,9,"Vancouver",2,1
40,2017,5,"New Westminster",0,0
40,2017,6,"New Westminster",0,0
40,2017,7,"New Westminster",0,0
40,2017,8,"New Westminster",0,0
40,2017,9,"New Westminster",0,0
40,2018,5,"New Westminster",106,1
40,2018,6,"New Westminster",0,0
40,2018,7,"New Westminster",13,1
40,2018,8,"New Westminster",3,1
40,2018,9,"New Westminster",0,0
40,2019,5,"New Westminster",0,0
40,2019,6,"New Westminster",4,1
40,2019,7,"New Westminster",0,0
40,2019,8,"New Westminster",0,0
40,2019,9,"New Westminster",0,0
40,2020,5,"New Westminster",0,0
40,2020,6,"New Westminster",0,0
40,2020,7,"New Westminster",0,0
40,2020,8,"New Westminster",0,0
40,2020,9,"New Westminster",2,1
40,2021,5,"New Westminster",0,0
40,2021,6,"New Westminster",0,0
40,2021,7,"New Westminster",0,0
40,2021,8,"New Westminster",0,0
40,2021,9,"New Westminster",0,0
40,2022,5,"New Westminster",0,0
40,2022,6,"New Westminster",0,0
