"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","GRADE","NUMBER_WRITERS","AVG_SCORE","MEDIAN_SCORE","STDEV_SCORE","pm25","burned_ha_75km","fire_count_75km","AVG_SCORE_Z"
91,"Nechako Lakes",2019,"04","211",332.9929,392,215.9074,4.64719920158386,414,17,-0.144061064218429
92,"Nisga'a",2019,"04","32",342.303,359,84.6111,3.91974959373474,12,2,-0.104318182109236
5,"Southeast Kootenay",2019,"07","407",390.6504,413.5,158.135,3.48403811454773,103,9,0.143689428706904
6,"Rocky Mountain",2019,"07","268",467.1649,469,137.6802,2.75054051876068,103,9,0.472019361358385
8,"Kootenay Lake",2019,"07","320",355.15,416.5,199.9366,3.2307345867157,104,10,-0.00864567040634409
10,"Arrow Lakes",2019,"07","38",405.1087,467,206.3008,3.53605999946594,18,5,0.205731168053759
19,"Revelstoke",2019,"07","67",448.8,496,179.8963,3.46162595748901,9,3,0.393214084186722
20,"Kootenay-Columbia",2019,"07","136",200.5947,0,230.6027,4.16724553108215,22,4,-0.671855012948338
22,"Vernon",2019,"07","590",419.6262,448,163.444,4.01458821296692,2511,10,0.268026939407788
23,"Central Okanagan",2019,"07","1164",288.6106,374,227.8355,4.36650524139404,3396,16,-0.29417163895701
27,"Cariboo-Chilcotin",2019,"07","366",384.264,395,144.6466,3.98649845123291,462,20,0.116284867716694
28,"Quesnel",2019,"07","87",138.3592,0,195.4161,5.43289937973022,401,10,-0.938912597112531
33,"Chilliwack",2019,"07","933",389.1696,425,176.522,4.75586996078491,5,1,0.137335195662575
34,"Abbotsford",2019,"07","1386",434.7475,454,143.2376,5.18266630172729,9,2,0.332913665591751
35,"Langley",2019,"07","1386",398.9739,439,187.3846,4.98436107635498,13,3,0.179406243094041
36,"Surrey",2019,"07","3396",281.6229,363,250.8375,5.07139253616333,13,3,-0.324156427074148
37,"Delta",2019,"07","755",295.1256,384,244.3181,4.97601532936096,13,3,-0.266215244924187
38,"Richmond",2019,"07","937",318.3089,429.5,273.8831,4.69740710258484,30,6,-0.166733822087482
39,"Vancouver",2019,"07","2125",296.2631,384,271.87,4.45727648735046,33,7,-0.261334140056599
40,"New Westminster",2019,"07","431",415.818,462,190.6967,5.64453163146973,13,3,0.251685643973284
41,"Burnaby",2019,"07","1173",327.2633,425,265.4039,5.51009101867676,13,3,-0.12830976456983
42,"Maple Ridge-Pitt Meadows",2019,"07","277",111.2736,0,199.6877,5.35136880874634,18,5,-1.05513910612487
43,"Coquitlam",2019,"07","1980",375.7765,441,217.711,5.12537536621094,17,4,0.079864316012384
44,"North Vancouver",2019,"07","1158",480.7117,508,148.005,4.8647216796875,30,6,0.530149780189365
45,"West Vancouver",2019,"07","497",544.2748,585,174.3579,3.9551558971405,25,5,0.8029042037577
46,"Sunshine Coast",2019,"07","186",369.5309,438,223.3635,3.80462765693665,47,8,0.0530639392554543
47,"qathet",2019,"07","114",344.962,428.5,232.5173,3.08707625865936,51,10,-0.0523632056951231
48,"Sea to Sky",2019,"07","296",389.3121,433,182.302,4.17981147766113,46,10,0.137946674733899
49,"Central Coast",2019,"07","Msk",NA,NA,NA,3.46723103523254,124,7,NA
50,"Haida Gwaii",2019,"07","32",359.25,392,165.2113,3.99504899978638,0,0,0.00894776252298404
51,"Boundary",2019,"07","102",419.9369,452,148.2912,3.99091424942017,3347,8,0.269360178337335
52,"Prince Rupert",2019,"07","131",375.4414,406,150.5392,3.25626420974731,3,2,0.0784263747015015
53,"Okanagan Similkameen",2019,"07","172",434.5222,443,135.0792,3.79744386672974,3362,12,0.331946884996878
54,"Bulkley Valley",2019,"07","124",436.8258,432.5,157.6946,5.17784910202026,17,4,0.341831819654439
57,"Prince George",2019,"07","937",402.6956,419,141.9022,5.17503628730774,350,11,0.195376360004549
58,"Nicola-Similkameen",2019,"07","153",419.4198,438,137.2277,3.71680927276611,3651,22,0.267141260247638
59,"Peace River South",2019,"07","274",413.2509,419,130.2747,6.63809552192688,331,6,0.240670009418923
60,"Peace River North",2019,"07","450",403.014,425,165.5048,7.04558081626892,1050,15,0.196742640259353
61,"Greater Victoria",2019,"07","755",246.6853,287,241.4422,4.08874564170837,3,1,-0.474076505686755
