"SCHOOL_DISTRICT_NAME","SCHOOL_DISTRICT_NUMBER","year","month","pm25_mean"
"New Westminster",40,2017,10,7.56136131286621
"Burnaby",41,2017,10,6.92702054977417
"Maple-Ridge Pitt-Meadows",42,2017,10,5.11255216598511
"Coquitlam",43,2017,10,5.96972370147705
"North Vancouver",44,2017,10,5.13815259933472
"West Vancouver",45,2017,10,5.7278413772583
"Sunshine Coast",46,2017,10,4.31383800506592
"Powell RIver",47,2017,10,3.4403612613678
"Sea to Sky",48,2017,10,3.02253293991089
"South East Kootenay",5,2017,10,5.74360418319702
"Haida Gwaii",50,2017,10,1.91808366775513
"Boundary",51,2017,10,9.56366539001465
"Prince Rupert",52,2017,10,2.53840517997742
"Bulkley Valley",54,2017,10,4.35868167877197
"Prince George",57,2017,10,4.89524078369141
"Nicola-Similkameen",58,2017,10,4.86670923233032
"Peace River South",59,2017,10,5.03497552871704
"Rocky Mountain",6,2017,10,4.35935735702515
"Peace River North",60,2017,10,4.2127366065979
"Victoria",61,2017,10,7.42080068588257
"Sooke",62,2017,10,4.79058027267456
"Saanich",63,2017,10,6.96192502975464
"Gulf Islands",64,2017,10,7.07002544403076
"Nanaimo-Ladysmith",68,2017,10,4.4866099357605
"Qualicum",69,2017,10,5.14388990402222
"Pacific Rim",70,2017,10,3.44670867919922
"Comox Valley",71,2017,10,4.23446702957153
"Campbell River",72,2017,10,3.21565270423889
"Kamloops-Thompson",73,2017,10,5.72504711151123
"Gold Trail",74,2017,10,3.74905109405518
"Mission",75,2017,10,5.48481559753418
"Fraser-Cascade",78,2017,10,3.97036862373352
"Cowichan",79,2017,10,3.09443283081055
